iter	RMSE
0	78092.4953
1	75723.14361
2	73291.24329
3	71037.33533
4	68842.36702
5	66854.69936
6	64831.79722
7	63172.35039
8	61449.02187
9	59838.40079
10	58203.99646
11	56706.81403
12	55333.56426
13	53952.41106
14	52740.65268
15	51486.85007
16	50364.31658
17	49233.23911
18	48211.56206
19	47075.01704
20	46217.83537
21	45407.87411
22	44672.13063
23	43891.29021
24	43254.90125
25	42506.70487
26	41744.49697
27	40993.88955
28	40262.70263
29	39647.19549
30	39012.11347
31	38443.80548
32	37899.11748
33	37419.2403
34	36915.34437
35	36494.37416
36	36075.37588
37	35619.40051
38	35310.19398
39	34923.53834
40	34409.48987
41	34108.1988
42	33801.54108
43	33532.25436
44	33165.58853
45	32895.92854
46	32468.01084
47	32166.87637
48	31897.42962
49	31593.87384
50	31269.68706
51	30979.27207
52	30659.38784
53	30386.97719
54	30065.14811
55	29756.24296
56	29469.47061
57	29261.34967
58	29003.99983
59	28767.24483
60	28529.45522
61	28274.48954
62	28088.75273
63	27871.25815
64	27670.81378
65	27462.8367
66	27283.44271
67	27130.70182
68	26939.09146
69	26757.07138
70	26599.68693
71	26455.71761
72	26330.40401
73	26178.57529
74	26064.01912
75	25956.41142
76	25844.67413
77	25784.2864
78	25663.49355
79	25603.19753
80	25503.98084
81	25419.629
82	25317.98048
83	25242.00332
84	25125.68879
85	25002.91124
86	24909.3443
87	24809.82998
88	24695.92539
89	24615.10004
90	24545.94492
91	24521.16461
92	24459.13361
93	24362.42449
94	24271.18081
95	24218.81988
96	24176.69397
97	24131.10308
98	24057.9939
99	23986.28081
100	23926.36706
101	23857.58581
102	23736.39406
103	23668.55617
104	23619.1072
105	23536.1469
106	23469.53217
107	23384.54522
108	23297.58901
109	23249.15124
110	23183.36461
111	23109.57109
112	23042.11239
113	23011.12515
114	22946.40613
115	22900.3784
116	22826.76554
117	22815.47989
118	22740.53622
119	22734.01058
120	22707.42874
121	22620.08717
122	22577.79296
123	22536.18789
124	22498.2115
125	22432.28541
126	22360.98145
127	22305.27817
128	22246.78527
129	22210.65208
130	22155.09147
131	22103.21328
132	22058.24998
133	22014.72772
134	21945.33514
135	21885.4917
136	21838.27817
137	21789.42068
138	21726.28784
139	21666.88395
140	21625.47954
141	21574.80427
142	21545.72311
143	21436.55136
144	21405.8372
145	21356.95147
146	21337.61302
147	21322.48068
148	21279.50292
149	21228.40108
150	21201.47506
151	21149.81422
152	21061.44711
153	21033.05777
154	20998.62071
155	20969.52294
156	20935.50373
157	20891.81743
158	20856.67735
159	20816.11919
160	20783.56988
161	20758.51504
162	20725.02114
163	20662.05594
164	20593.90844
165	20520.73046
166	20450.7788
167	20423.01935
168	20375.90057
169	20309.01708
170	20258.31707
171	20213.93009
172	20196.00193
173	20148.55574
174	20094.42409
175	20062.86304
176	20018.20499
177	19994.452
178	19950.82581
179	19913.74175
180	19880.42135
181	19798.90468
182	19750.46689
183	19689.10744
184	19638.64266
185	19602.17864
186	19541.22636
187	19517.59873
188	19468.28821
189	19444.54597
190	19374.51356
191	19344.28355
192	19311.98565
193	19266.97607
194	19239.28002
195	19199.1474
196	19169.8105
197	19143.63094
198	19103.58701
199	19056.09669
200	19021.06464
201	18978.28737
202	18954.84953
203	18936.78137
204	18905.49587
205	18874.65217
206	18847.47061
207	18807.54862
208	18788.01446
209	18759.89158
210	18701.67695
211	18661.88947
212	18627.26085
213	18612.40738
214	18604.5661
215	18570.9282
216	18535.64153
217	18509.31319
218	18489.01361
219	18473.84443
220	18434.47642
221	18395.03793
222	18383.50006
223	18337.00102
224	18327.46481
225	18305.02577
226	18279.86376
227	18263.17998
228	18224.20011
229	18220.60672
230	18208.125
231	18188.59318
232	18170.37411
233	18149.27427
234	18123.06551
235	18114.11122
236	18098.87729
237	18086.7636
238	18017.1196
239	17997.97394
240	17958.87368
241	17938.20012
242	17898.79713
243	17847.85007
244	17826.0679
245	17811.10579
246	17793.23363
247	17761.59458
248	17737.5181
249	17725.22807
250	17702.86311
251	17674.33595
252	17634.07221
253	17618.89889
254	17598.09417
255	17574.7806
256	17533.65106
257	17527.81069
258	17499.4877
259	17474.84699
260	17437.8139
261	17423.02371
262	17413.33615
263	17383.8313
264	17369.37172
265	17351.51722
266	17337.96775
267	17335.64202
268	17313.35136
269	17291.66106
270	17279.06247
271	17257.24209
272	17226.57619
273	17201.39594
274	17187.98676
275	17165.76593
276	17143.99743
277	17112.91406
278	17097.39653
279	17039.83747
280	17009.76404
281	16989.55412
282	16969.96482
283	16936.98572
284	16918.49858
285	16906.62621
286	16894.83425
287	16886.86875
288	16876.23615
289	16860.06309
290	16829.20187
291	16814.28829
292	16784.4321
293	16745.48773
294	16725.63229
295	16694.78151
296	16661.58772
297	16656.93673
298	16640.91494
299	16615.11117
300	16585.71849
301	16573.06179
302	16566.31481
303	16545.52342
304	16535.98899
305	16520.91322
306	16509.80969
307	16476.20451
308	16459.32333
309	16444.51732
310	16414.62347
311	16401.5877
312	16393.34284
313	16389.07072
314	16356.20572
315	16343.56038
316	16317.26626
317	16302.16693
318	16268.83657
319	16256.0729
320	16226.61561
321	16216.66235
322	16211.59026
323	16210.13332
324	16199.02122
325	16174.76736
326	16157.3998
327	16132.6957
328	16122.69694
329	16107.21707
330	16089.39585
331	16071.61014
332	16059.1269
333	16047.3824
334	16032.08094
335	16016.20779
336	15999.37315
337	15991.98396
338	15990.41288
339	15980.44312
340	15978.02794
341	15953.18295
342	15935.03188
343	15910.42559
344	15882.80323
345	15875.46799
346	15873.67049
347	15859.59851
348	15814.4689
349	15801.34966
350	15761.80689
351	15742.16165
352	15721.75029
353	15706.9665
354	15690.52515
355	15687.83583
356	15677.693
357	15646.07565
358	15633.35051
359	15598.60657
360	15596.96306
361	15584.85402
362	15571.09619
363	15557.38696
364	15552.43055
365	15551.28757
366	15547.23289
367	15538.22906
368	15503.6171
369	15475.85657
370	15462.53793
371	15454.2873
372	15441.37438
373	15428.61359
374	15424.57173
375	15375.05424
376	15352.08415
377	15331.1528
378	15312.48802
379	15288.33578
380	15268.20927
381	15263.31314
382	15246.80344
383	15239.32547
384	15233.34942
385	15194.68759
386	15163.2296
387	15150.3368
388	15144.40461
389	15131.97181
390	15105.85767
391	15087.92136
392	15078.07931
393	15062.41639
394	15040.87655
395	15020.76898
396	15007.94228
397	14999.61312
398	14981.20722
399	14948.00735
400	14927.17585
401	14903.1353
402	14880.332
403	14879.12857
404	14870.58793
405	14863.0884
406	14850.91017
407	14814.76906
408	14799.60404
409	14787.21401
410	14774.96779
411	14770.2076
412	14758.62941
413	14751.32853
414	14726.99664
415	14708.65764
416	14691.51446
417	14662.47792
418	14628.06709
419	14614.69181
420	14598.29293
421	14574.01389
422	14560.52482
423	14551.38157
424	14545.43888
425	14532.77689
426	14522.75525
427	14517.67438
428	14504.50814
429	14479.85
430	14462.15061
431	14448.67904
432	14430.34698
433	14415.83428
434	14403.28107
435	14389.64635
436	14380.90979
437	14354.46684
438	14330.7501
439	14312.08338
440	14295.67446
441	14288.80721
442	14283.44016
443	14275.48666
444	14256.60666
445	14240.22396
446	14212.61892
447	14205.7261
448	14196.4725
449	14181.47596
450	14169.23294
451	14159.70138
452	14136.91069
453	14130.50516
454	14124.44845
455	14094.33087
456	14058.62029
457	14048.69047
458	14041.49165
459	14037.8392
460	14014.66367
461	13993.82021
462	13967.64317
463	13948.26629
464	13936.35419
465	13935.65772
466	13920.44061
467	13908.16718
468	13890.48533
469	13886.04406
470	13871.76402
471	13846.37265
472	13829.17268
473	13817.2503
474	13810.42381
475	13795.09231
476	13778.20363
477	13775.76464
478	13754.05597
479	13728.79324
480	13706.57307
481	13697.362
482	13696.45208
483	13681.94681
484	13673.08401
485	13662.83727
486	13657.67084
487	13651.57172
488	13634.1327
489	13617.66384
490	13610.45366
491	13594.36157
492	13578.00061
493	13562.92928
494	13546.90709
495	13531.42479
496	13519.11536
497	13507.01442
498	13501.2987
499	13491.60507
500	13481.56745
501	13478.31986
502	13469.01632
503	13462.97675
504	13448.29126
505	13428.64253
506	13421.05257
507	13414.75133
508	13396.44824
509	13383.96832
510	13364.50435
511	13364.12087
512	13357.30239
513	13340.82395
514	13328.93524
515	13313.06262
516	13304.77455
517	13297.93946
518	13296.26301
519	13293.41448
520	13289.7578
521	13272.8421
522	13267.15684
523	13257.00665
524	13245.12428
525	13238.37126
526	13209.58927
527	13189.04497
528	13188.54759
529	13158.57514
530	13158.10039
531	13144.67577
532	13140.40329
533	13127.84883
534	13112.22203
535	13102.26672
536	13087.21807
537	13066.26289
538	13053.58487
539	13028.95696
540	13027.81245
541	13014.57212
542	12999.29334
543	12975.47323
544	12972.73106
545	12971.0685
546	12968.7495
547	12958.71433
548	12949.49352
549	12943.06587
550	12933.06127
551	12909.34131
552	12905.36964
553	12895.09399
554	12862.43838
555	12858.79756
556	12855.94452
557	12849.43167
558	12834.36805
559	12821.30326
560	12804.57252
561	12793.56145
562	12788.31947
563	12787.78205
564	12778.27538
565	12773.15078
566	12762.23088
567	12755.27846
568	12740.06481
569	12731.60238
570	12725.57979
571	12720.89818
572	12711.34361
573	12708.96527
574	12697.35426
575	12696.31803
576	12681.21681
577	12671.68427
578	12660.3542
579	12642.09925
580	12637.21029
581	12630.90396
582	12618.98315
583	12612.76605
584	12604.67373
585	12595.44851
586	12592.29022
587	12578.26464
588	12574.84063
589	12563.73527
590	12554.37151
591	12533.49138
592	12524.44014
593	12495.65518
594	12491.03487
595	12484.41488
596	12470.38751
597	12464.54076
598	12460.09595
599	12453.20348
600	12434.70765
601	12425.53813
602	12421.40869
603	12409.44286
604	12394.09305
605	12389.12183
606	12372.78214
607	12363.15682
608	12355.46536
609	12349.4612
610	12331.4989
611	12320.34361
612	12318.3995
613	12310.52074
614	12309.65149
615	12290.85931
616	12288.03197
617	12280.8034
618	12265.79863
619	12255.05639
620	12249.73169
621	12234.12811
622	12220.41363
623	12218.54178
624	12217.85663
625	12199.10187
626	12190.71146
627	12177.95337
628	12169.02124
629	12156.09438
630	12155.45364
631	12144.63694
632	12130.17596
633	12126.60365
634	12122.17215
635	12120.52311
636	12109.11853
637	12108.661
638	12103.82899
639	12097.65132
640	12089.37581
641	12069.48029
642	12064.92387
643	12060.58407
644	12054.18104
645	12032.26207
646	12026.45188
647	12014.92242
648	12006.1853
649	11998.78836
650	11981.41407
651	11970.79556
652	11964.30079
653	11956.18916
654	11948.64846
655	11927.8813
656	11904.68804
657	11901.41928
658	11897.16645
659	11885.91746
660	11876.17241
661	11867.21417
662	11861.39044
663	11854.27654
664	11853.29791
665	11848.48499
666	11844.66975
667	11834.8071
668	11824.20641
669	11823.76447
670	11823.0369
671	11822.16552
672	11803.62491
673	11798.27639
674	11791.8103
675	11785.17725
676	11765.14514
677	11751.23531
678	11747.20089
679	11741.19669
680	11739.11139
681	11730.80914
682	11716.47891
683	11709.19606
684	11701.88821
685	11695.97236
686	11693.28076
687	11685.53519
688	11669.46021
689	11662.201
690	11654.77072
691	11645.47929
692	11639.4303
693	11632.6345
694	11630.28966
695	11622.21227
696	11619.33252
697	11614.00749
698	11606.99239
699	11602.89536
700	11596.01871
701	11588.74176
702	11581.64552
703	11565.74021
704	11560.98555
705	11553.63904
706	11552.69658
707	11539.00662
708	11528.55844
709	11526.13741
710	11512.78017
711	11507.13925
712	11505.87662
713	11498.48966
714	11485.79988
715	11478.90963
716	11465.94586
717	11459.52372
718	11455.26338
719	11430.97992
720	11423.48097
721	11418.12747
722	11414.13132
723	11406.41528
724	11393.72603
725	11377.46982
726	11371.20874
727	11370.43807
728	11360.43757
729	11350.38461
730	11338.38382
731	11333.05604
732	11322.22305
733	11303.97515
734	11295.81384
735	11291.96212
736	11288.33485
737	11275.70312
738	11267.53985
739	11262.97904
740	11250.5104
741	11247.20571
742	11243.92514
743	11241.24257
744	11231.86892
745	11213.49664
746	11201.79973
747	11193.29325
748	11180.72082
749	11170.44273
750	11159.49005
751	11154.85429
752	11146.06744
753	11143.69442
754	11133.11645
755	11122.57442
756	11119.73878
757	11112.09886
758	11105.13836
759	11104.00613
760	11101.11093
761	11098.64074
762	11080.65748
763	11074.10611
764	11066.80176
765	11061.88454
766	11054.09776
767	11044.49536
768	11038.42818
769	11028.73289
770	11019.61688
771	11003.94251
772	11002.34374
773	10991.50015
774	10980.20144
775	10975.68109
776	10963.85311
777	10955.02762
778	10945.78714
779	10934.74645
780	10929.03485
781	10921.68782
782	10911.52229
783	10900.65363
784	10895.59699
785	10894.12164
786	10882.92026
787	10882.34525
788	10875.50988
789	10861.30769
790	10860.0287
791	10851.9418
792	10848.79833
793	10842.44831
794	10837.26832
795	10835.87133
796	10831.14576
797	10821.63641
798	10814.53096
799	10805.83612
800	10801.28063
801	10794.13579
802	10789.20904
803	10782.64952
804	10777.5304
805	10769.76662
806	10756.34966
807	10750.37397
808	10748.81738
809	10736.91402
810	10726.49029
811	10719.50923
812	10716.54166
813	10714.78841
814	10710.0118
815	10707.78352
816	10701.65749
817	10693.90025
818	10681.94167
819	10678.00981
820	10674.52601
821	10663.85221
822	10657.05213
823	10642.99731
824	10639.6328
825	10633.0696
826	10630.46073
827	10625.02846
828	10616.59835
829	10615.5063
830	10611.14876
831	10609.96778
832	10608.3402
833	10603.59488
834	10592.95693
835	10587.92207
836	10581.30945
837	10564.70047
838	10560.97115
839	10549.50932
840	10537.41665
841	10528.06606
842	10520.41721
843	10514.57443
844	10500.08441
845	10497.52261
846	10493.79048
847	10492.58729
848	10490.85355
849	10486.40632
850	10480.88478
851	10470.60422
852	10458.21688
853	10455.82566
854	10447.96096
855	10443.29492
856	10432.31251
857	10429.05262
858	10421.5627
859	10414.10401
860	10398.98112
861	10398.90448
862	10397.52873
863	10396.91801
864	10388.68316
865	10383.76368
866	10377.01231
