iter	Passed	Remaining
0	61	61525
1	64	32377
2	68	22652
3	71	17707
4	73	14724
5	76	12692
6	79	11222
7	81	10154
8	84	9310
9	87	8615
10	89	8076
11	92	7615
12	95	7220
13	97	6881
14	100	6589
15	102	6329
16	105	6099
17	108	5894
18	110	5692
19	112	5516
20	115	5368
21	117	5230
22	120	5107
23	122	4990
24	125	4889
25	127	4790
26	130	4704
27	133	4621
28	135	4544
29	138	4472
30	140	4399
31	143	4339
32	145	4275
33	148	4213
34	150	4158
35	153	4101
36	155	4050
37	157	3995
38	160	3947
39	163	3934
40	166	3905
41	169	3862
42	171	3821
43	174	3783
44	176	3746
45	178	3710
46	181	3679
47	184	3651
48	186	3628
49	191	3629
50	195	3643
51	198	3615
52	201	3603
53	204	3580
54	206	3556
55	213	3603
56	216	3589
57	219	3567
58	222	3543
59	224	3521
60	227	3497
61	229	3474
62	232	3452
63	234	3435
64	242	3491
65	250	3545
66	255	3552
67	257	3534
68	260	3521
69	263	3500
70	266	3482
71	268	3462
72	271	3442
73	272	3415
74	275	3395
75	277	3377
76	280	3362
77	281	3332
78	284	3319
79	287	3303
80	289	3286
81	291	3268
82	294	3253
83	297	3239
84	299	3225
85	302	3212
86	304	3198
87	307	3186
88	310	3175
89	312	3162
90	315	3147
91	315	3115
92	318	3101
93	320	3093
94	323	3082
95	326	3072
96	328	3060
97	331	3049
98	334	3039
99	336	3030
100	339	3017
101	341	3008
102	344	2998
103	347	2989
104	349	2982
105	352	2972
106	354	2960
107	356	2948
108	359	2937
109	361	2927
110	364	2917
111	366	2907
112	369	2898
113	372	2892
114	374	2882
115	377	2876
116	379	2867
117	380	2845
118	382	2834
119	383	2812
120	385	2802
121	388	2793
122	390	2784
123	392	2775
124	395	2767
125	397	2757
126	399	2749
127	402	2739
128	404	2732
129	407	2724
130	409	2716
131	411	2708
132	414	2700
133	416	2694
134	419	2687
135	422	2681
136	424	2676
137	427	2669
138	429	2661
139	432	2654
140	434	2647
141	437	2640
142	439	2635
143	442	2628
144	444	2622
145	447	2616
146	449	2610
147	452	2604
148	455	2599
149	457	2592
150	459	2586
151	462	2579
152	464	2574
153	467	2569
154	470	2563
155	472	2558
156	475	2553
157	477	2547
158	480	2541
159	483	2536
160	485	2531
161	488	2525
162	490	2519
163	493	2514
164	495	2508
165	498	2504
166	501	2499
167	503	2494
168	506	2489
169	508	2485
170	511	2479
171	514	2474
172	516	2469
173	519	2464
174	521	2458
175	524	2454
176	526	2449
177	529	2443
178	532	2442
179	537	2447
180	541	2448
181	543	2443
182	546	2438
183	548	2433
184	551	2428
185	553	2424
186	556	2419
187	563	2433
188	566	2429
189	568	2424
190	571	2419
191	573	2415
192	576	2410
193	579	2406
194	581	2402
195	584	2397
196	588	2400
197	599	2428
198	605	2437
199	608	2433
200	611	2429
201	613	2425
202	616	2420
203	619	2415
204	621	2411
205	624	2406
206	626	2401
207	630	2400
208	633	2395
209	635	2391
210	638	2388
211	641	2384
212	644	2380
213	646	2376
214	649	2371
215	651	2365
216	654	2361
217	656	2356
218	659	2351
219	662	2348
220	664	2343
221	667	2340
222	670	2336
223	672	2331
224	675	2326
225	677	2321
226	679	2315
227	682	2310
228	684	2304
229	686	2299
230	689	2294
231	691	2289
232	694	2285
233	696	2281
234	699	2276
235	701	2271
236	704	2267
237	706	2263
238	709	2258
239	711	2253
240	714	2249
241	717	2246
242	719	2242
243	722	2237
244	724	2232
245	727	2228
246	729	2224
247	732	2220
248	735	2217
249	737	2212
250	740	2208
251	742	2204
252	745	2200
253	747	2196
254	750	2192
255	752	2187
256	755	2183
257	757	2178
258	760	2174
259	762	2170
260	764	2165
261	767	2161
262	769	2157
263	772	2152
264	774	2148
265	776	2143
266	779	2140
267	782	2136
268	785	2133
269	787	2129
270	791	2129
271	794	2125
272	796	2121
273	799	2117
274	801	2113
275	804	2110
276	808	2109
277	812	2109
278	817	2112
279	822	2115
280	829	2122
281	832	2120
282	836	2119
283	839	2116
284	842	2113
285	851	2124
286	863	2145
287	868	2148
288	873	2149
289	885	2168
290	892	2174
291	896	2174
292	899	2169
293	901	2165
294	904	2160
295	907	2158
296	916	2168
297	919	2166
298	923	2165
299	930	2170
300	935	2173
301	939	2170
302	945	2175
303	958	2194
304	963	2195
305	970	2200
306	977	2205
307	980	2201
308	982	2197
309	985	2193
310	988	2189
311	990	2184
312	993	2180
313	995	2175
314	998	2171
315	1001	2167
316	1004	2164
317	1013	2173
318	1016	2169
319	1019	2165
320	1021	2161
321	1024	2157
322	1027	2153
323	1029	2148
324	1032	2143
325	1034	2139
326	1037	2134
327	1039	2130
328	1042	2125
329	1044	2121
330	1047	2116
331	1049	2112
332	1052	2108
333	1054	2103
334	1057	2099
335	1060	2095
336	1063	2091
337	1065	2086
338	1068	2082
339	1070	2078
340	1072	2073
341	1075	2068
342	1077	2064
343	1082	2064
344	1088	2066
345	1107	2093
346	1116	2100
347	1125	2108
348	1140	2127
349	1170	2173
350	1194	2208
351	1213	2233
352	1253	2298
353	1264	2307
354	1272	2312
355	1280	2315
356	1289	2322
357	1294	2322
358	1299	2320
359	1303	2316
360	1306	2312
361	1309	2308
362	1313	2304
363	1320	2307
364	1323	2302
365	1326	2297
366	1329	2292
367	1331	2286
368	1334	2282
369	1337	2276
370	1340	2272
371	1343	2267
372	1346	2263
373	1349	2258
374	1351	2252
375	1354	2248
376	1357	2243
377	1360	2238
378	1363	2233
379	1366	2228
380	1369	2224
381	1372	2220
